n_samples,n_groups,max,distribution,simulation,distribution_truth,distribution_pred,varied,99_perc
80,3,0.1152777777777778,uniform,class_shift_diff,,,,0.09724999999999999
100,3,0.10222222222222221,uniform,class_shift_diff,,,,0.08777777777777779
120,3,0.09629629629629628,uniform,class_shift_diff,,,,0.07686111111111112
140,3,0.08253968253968252,uniform,class_shift_diff,,,,0.073015873015873
160,3,0.0902777777777778,uniform,class_shift_diff,,,,0.06944444444444443
180,3,0.09012345679012346,uniform,class_shift_diff,,,,0.06604938271604938
200,3,0.07611111111111112,uniform,class_shift_diff,,,,0.061666666666666675
220,3,0.07323232323232327,uniform,class_shift_diff,,,,0.05707070707070707
240,3,0.06666666666666667,uniform,class_shift_diff,,,,0.05556018518518517
260,3,0.06410256410256411,uniform,class_shift_diff,,,,0.054705128205128184
280,3,0.07936507936507936,uniform,class_shift_diff,,,,0.050801587301587306
300,3,0.06777777777777777,uniform,class_shift_diff,,,,0.05037037037037036
400,3,0.05138888888888888,uniform,class_shift_diff,,,,0.040558333333333314
600,3,0.04611111111111114,uniform,class_shift_diff,,,,0.036853703703703715
800,3,0.03888888888888886,uniform,class_shift_diff,,,,0.02986527777777778
1000,3,0.03433333333333332,uniform,class_shift_diff,,,,0.029004444444444437
20,6,0.2583333333333333,uniform,class_shift_diff,,,,0.21666666666666667
40,6,0.17361111111111113,uniform,class_shift_diff,,,,0.15559722222222216
60,6,0.14722222222222223,uniform,class_shift_diff,,,,0.12039814814814814
80,6,0.12222222222222223,uniform,class_shift_diff,,,,0.10834027777777776
100,6,0.1111111111111111,uniform,class_shift_diff,,,,0.09446666666666664
120,6,0.10694444444444444,uniform,class_shift_diff,,,,0.08705555555555554
140,6,0.10634920634920633,uniform,class_shift_diff,,,,0.08055952380952382
160,6,0.10208333333333335,uniform,class_shift_diff,,,,0.0736284722222222
180,6,0.08518518518518516,uniform,class_shift_diff,,,,0.07407407407407406
200,6,0.08583333333333334,uniform,class_shift_diff,,,,0.06889166666666666
220,6,0.0734848484848485,uniform,class_shift_diff,,,,0.06389141414141418
240,6,0.0875,uniform,class_shift_diff,,,,0.06296759259259259
260,6,0.07393162393162393,uniform,class_shift_diff,,,,0.06132692307692306
280,6,0.07261904761904762,uniform,class_shift_diff,,,,0.05576190476190478
300,6,0.07129629629629632,uniform,class_shift_diff,,,,0.05537592592592593
400,6,0.053749999999999985,uniform,class_shift_diff,,,,0.04694444444444441
600,6,0.058240740740740767,uniform,class_shift_diff,,,,0.04342685185185184
800,6,0.043333333333333314,uniform,class_shift_diff,,,,0.03597777777777775
1000,6,0.038222222222222234,uniform,class_shift_diff,,,,0.03222555555555551
20,8,0.27083333333333337,uniform,class_shift_diff,,,,0.220875
40,8,0.18020833333333336,uniform,class_shift_diff,,,,0.16147916666666667
60,8,0.16041666666666668,uniform,class_shift_diff,,,,0.12847916666666667
80,8,0.13072916666666665,uniform,class_shift_diff,,,,0.11041666666666665
100,8,0.11958333333333332,uniform,class_shift_diff,,,,0.10208333333333333
120,8,0.11319444444444444,uniform,class_shift_diff,,,,0.0899340277777778
140,8,0.11577380952380951,uniform,class_shift_diff,,,,0.08035714285714284
160,8,0.10312500000000004,uniform,class_shift_diff,,,,0.07838802083333334
180,8,0.09027777777777779,uniform,class_shift_diff,,,,0.07523611111111113
200,8,0.08020833333333331,uniform,class_shift_diff,,,,0.07312500000000002
220,8,0.07594696969696973,uniform,class_shift_diff,,,,0.06572916666666664
240,8,0.08854166666666666,uniform,class_shift_diff,,,,0.06580034722222222
260,8,0.07692307692307693,uniform,class_shift_diff,,,,0.06058173076923077
280,8,0.07782738095238095,uniform,class_shift_diff,,,,0.05759226190476191
300,8,0.07236111111111114,uniform,class_shift_diff,,,,0.05625277777777777
400,8,0.05687500000000001,uniform,class_shift_diff,,,,0.04708645833333334
